Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43127,Aberystwyth (H) 27/1/18,03 K.McCarthy,all, game, 43127.583986111,43127.698877315,"8763","12.3585","86","1098.363","1504.8604","9","8.3023","84.6182","6.0411","698.3316","30.7399","4.3991","4.1391","2.722","0.8406","0.2578","7298.6","1759.1","682.5","150.4","35.9","800","9","0","0","0","0","51","26","4","5","4.7802","1.1276","0.3601","0.1134","0.0646","3453.3","491.8","128.7","38.5","18.4","4.4267","1.1044","0.2914","0.0735","0.0165","5072","540.3","138.2","36.3","9","2.602","3.3711","2.2978","1.7196","0.9836","0.5207","0.3251","0.1825","0.1054","0.0969","0.1539","5987.5","2063.9","831.8","482.5","246.4","118.6","71.3","40.5","25.2","22","36.8","0","0","0","0","0","0","339","202","86","32","0","327","176","83","52",
43127,Aberystwyth (H) 27/1/18,18 W.Evans,all, game, 43127.579631944,43127.684605324,"9070","12.6909","61","807.684","1844.0636","13","8.0178","83.9533","6.8475","669.6763","38.1898","5.3244","4.4012","2.1576","0.5444","0.2633","6538.2","1848.5","549.1","96.4","37.5","428","13","0","0","0","0","37","20","4","0","5.0529","1.0309","0.2839","0.0965","0.0389","3575.4","444.7","100","29.8","10.7","4.9526","0.9194","0.2347","0.0644","0.0169","4328","436.9","104.2","31.1","8.9","2.8248","4.0755","2.6032","1.4383","0.6324","0.4055","0.2122","0.1406","0.1224","0.0807","0.1554","4365.8","2932.1","941.1","416.9","163.2","91.4","45.4","31.3","26.9","18","37.6","0","0","0","0","0","0","320","165","62","34","0","324","163","63","31",
43127,Aberystwyth (H) 27/1/18,20 H.Hope,all, game, 43127.581302083,43127.700444444,"8995","7.1251","32","133.036","830.7071","7","7.2423","47.5273","3.2157","493.259","15.242","3.3835","2.3278","1.2807","0.133","0","8982.5","985.5","305.4","20.5","0","394","8","0","0","0","0","18","11","2","1","3.0004","0.5624","0.1491","0.0455","0.0201","3454.6","281.8","59.8","14.6","5.2","2.6486","0.5252","0.1399","0.0287","0.0052","6100.8","290.9","68.9","14.6","2.7","2.1604","2.1307","1.2532","0.6896","0.3701","0.2101","0.1055","0.077","0.0589","0.0181","0.0516","8092.4","1312.8","466.9","201.2","95.3","49.8","25.5","18.5","13.6","4.6","13.3","0","0","0","0","0","0","196","109","38","13","0","177","98","40","15",
43127,Aberystwyth (H) 27/1/18,02 D.Rees,all, game, 43127.57731713,43127.69747338,"9339","13.6436","99","1288.74","1666.0776","1","8.5734","87.6557","6.3061","695.5404","29.7529","5.1492","4.0716","3.1341","0.9362","0.3525","7727.7","1651.2","786.4","167.9","48.3","304","1","0","0","0","0","61","20","12","6","5.403","1.1376","0.3735","0.1142","0.0627","3792.6","487.7","128.4","37","16.9","4.9957","1.1427","0.3452","0.0575","0.0114","5200.7","526.7","155.2","30.1","6.2","3.0692","3.2817","2.6914","1.9106","1.0623","0.6112","0.3521","0.2194","0.1551","0.1052","0.1856","6220.3","2050.5","958.9","531.7","260","139.2","76.9","48.2","33.3","22.3","40.2","0","0","0","0","0","0","274","249","81","24","0","270","210","76","48",
43127,Aberystwyth (H) 27/1/18,17 G.Howell,all, game, 43127.585881944,43127.704247685,"7081","9.7529","58","741.685","1166.9691","16","7.829","82.64","4.554","614.2945","24.7744","3.6418","3.7131","1.6563","0.5442","0.1975","8081.1","1601.2","418","98","28.4","769","15","1","0","0","0","37","16","4","1","3.7238","0.8802","0.2734","0.0744","0.0281","2672","371.3","97.4","22.7","6.9","3.7444","0.7655","0.205","0.0491","0.0089","6580.5","361.9","87.1","22.1","4.8","2.018","3.2377","1.894","1.039","0.6178","0.3579","0.1994","0.1151","0.0966","0.0592","0.1183","6911.7","1942.3","706.7","298.9","151.9","81.7","44.7","26.2","21.2","13.2","28.2","0","0","0","0","0","0","313","140","48","14","0","278","155","51","21",
43127,Aberystwyth (H) 27/1/18,07 E.Evans,all, game, 43127.578166667,43127.697594907,"9266","14.0314","85","1104.298","1821.1397","4","8.0201","90.857","6.5641","727.9275","33.6082","4.8241","4.9211","3.1818","0.8471","0.2572","7281.5","2051.5","796.2","152.7","36.7","330","4","0","0","0","0","44","25","11","5","5.6816","1.2427","0.38","0.1092","0.029","3982.2","523","139.6","35.5","7.9","5.0305","1.1102","0.3347","0.092","0.0215","4891.9","531.9","151.5","43.8","11.3","2.9151","3.678","2.9562","2.008","1.0233","0.5367","0.3225","0.1957","0.1269","0.0906","0.1784","5887.2","2215","1069.3","557.8","252.1","122.2","70.5","45.6","30.8","21.9","46.2","0","0","0","0","0","0","359","227","90","47","0","328","206","92","32",
43127,Aberystwyth (H) 27/1/18,16 J.Barnett,all, game, 43127.581346065,43127.697826389,"7798","10.5874","46","472.123","1382.7066","8","6.6534","81.4622","4.7943","887.9626","25.7147","4.0394","3.9248","2.1511","0.4629","0.0092","7799.8","1628.2","550.2","84.3","1.4","380","8","0","0","0","0","26","15","4","1","4.4061","0.8173","0.1602","0.0365","0.0125","3136.8","353.1","62.6","12.8","3.9","4.2764","0.7437","0.1148","0.0173","0.0026","6049.6","374","60.3","9.5","1.3","2.5412","2.8996","2.4838","1.4057","0.6876","0.2848","0.1469","0.0702","0.0335","0.016","0.0179","6711.1","1747.9","896.9","401.6","167.8","67.7","35.4","17.4","8.6","4.4","5.1","0","0","0","0","0","0","325","139","27","5","0","299","121","36","12",
43127,Aberystwyth (H) 27/1/18,14 J.Edwards,all, game, 43127.583025463,43127.698954861,"8845","13.1614","93","1376.395","1593.1375","6","8.3601","89.2804","6.3382","690.0125","33.0025","4.3734","4.6301","2.7816","1.0897","0.2867","7153.6","1928.3","698.7","194.5","41.1","507","6","0","0","0","0","49","25","11","8","5.155","1.2424","0.3365","0.0952","0.0448","3533.7","522.9","118.7","30.9","12.2","4.7696","1.1406","0.2913","0.0691","0.0168","5075.8","547.3","134.1","32.6","8","2.524","3.4791","2.7884","1.7588","1.0565","0.6118","0.3364","0.2187","0.1352","0.0877","0.1646","5812.6","2098.6","1013.7","501.7","250.5","130.3","71.9","46.4","29.5","20.5","40.5","0","0","0","0","0","0","377","215","70","28","0","350","214","71","41",
43127,Aberystwyth (H) 27/1/18,26 M.Swindlehurst,all, game, 43127.574513889,43127.698556713,"9581","3.2853","7","26.398","366.16","0","5.7445","20.5737","1.3615","265.3126","5.4744","1.9779","0.9913","0.2897","0.0264","0","10209.8","428.2","74.3","4.9","0","117","0","0","0","0","0","7","0","0","0","1.4387","0.2543","0.0613","0.0052","0.0014","2055.3","147.7","28.9","2.1","0.6","1.2658","0.2022","0.0492","0.0066","0.0006","8291.3","152.6","32.7","5.7","0.3","1.5297","0.8798","0.5038","0.2022","0.0806","0.0487","0.0195","0.0071","0.0085","0.0027","0.0027","9871.2","536.4","195.5","61.6","25.5","15","6.3","2.1","2.1","0.7","0.8","0","0","0","0","0","0","90","46","18","1","0","86","61","7","4",
43127,Aberystwyth (H) 27/1/18,21 H.Owen,all, game, 43127.581971065,43127.699519676,"6565","9.4713","64","904.405","1154.5349","11","8.129","86.5617","4.5342","791.3532","22.4631","3.296","3.4167","1.8542","0.7335","0.1709","8118.2","1419.8","463.7","130.4","24.1","594","11","0","0","0","0","33","20","11","0","3.5179","0.9449","0.2827","0.0793","0.0316","2545.6","383","92.1","22","8.8","3.4691","0.8437","0.2392","0.0526","0.0103","6603.9","366.1","103.9","25.1","5.7","2.0688","2.472","1.9414","1.1158","0.6975","0.4253","0.2638","0.1767","0.1192","0.0793","0.1115","7221.6","1463.5","714.7","321.4","169.1","96.2","57.6","39.5","26.6","17.8","28.2","0","0","0","0","0","0","260","151","62","26","0","253","162","44","31",
