Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43153,Training 22/02/18 (Thurs),19 A.James,all, training, 43153.722340278,43153.822475694,"8652","7.5068","40","337.14","882.0195","4","7.2312","52.058","4.0625","542.2576","18.1976","3.4086","2.4503","1.3107","0.2941","0.043","7257.5","1004.2","330.4","53.3","6.3","466","5","0","0","0","0","27","9","4","0","3.1193","0.6663","0.1652","0.0522","0.0132","3515.6","335.5","67.1","18.6","3.8","2.6991","0.6029","0.1524","0.0352","0.001","4247.5","359.4","82.5","20.9","0.8","2.5124","1.6669","1.5338","0.8402","0.4215","0.2323","0.1195","0.0735","0.042","0.0295","0.0352","6583.8","1021","558.3","241.7","110.9","58.7","31.4","19.2","10.6","7.5","8.6","0","0","0","0","0","0","201","116","62","6","0","195","119","47","14",
43153,Training 22/02/18 (Thurs),02 D.Rees,all, training, 43153.722378472,43153.827277778,"9063","8.3036","49","626.024","999.1356","3","7.8956","54.9725","4.3361","513.0054","18.7704","3.7687","2.6736","1.2352","0.4967","0.1293","7547.9","1098.7","309.6","88.4","18.6","156","3","0","0","0","0","28","15","5","1","3.4904","0.771","0.1741","0.0598","0.0236","3739.9","390","72.1","21.7","7.6","2.9","0.6236","0.2089","0.0457","0.0064","4316.6","373.8","111.4","26.7","3.4","2.7501","1.9405","1.5858","0.7512","0.4685","0.3112","0.1835","0.1121","0.0723","0.0413","0.0872","6783.6","1167.2","583.7","222.8","117.6","71.3","42.2","27.2","16.7","9.8","21.1","0","0","0","0","0","0","165","149","72","15","0","183","137","45","29",
43153,Training 22/02/18 (Thurs),07 E.Evans,all, training, 43153.722596065,43153.82508912,"8855","7.7604","32","402.116","979.0451","0","7.8401","52.5829","4.1122","496.9116","18.81","3.4521","2.6769","1.2293","0.2788","0.1233","7371.7","1106.6","310","49.4","17.7","118","0","0","0","0","0","17","12","2","1","3.2899","0.719","0.1452","0.0375","0.0077","3873.8","356","59.2","12.7","2.3","2.7902","0.5532","0.1651","0.0459","0.0066","4106.9","329.8","86.7","24.2","3.8","2.5983","1.7928","1.58","0.8069","0.3699","0.2441","0.1286","0.0923","0.0507","0.0317","0.0651","6730.3","1067.8","577.5","234.5","96.8","57.5","30.4","23.7","12.7","7.8","16.4","0","0","0","0","0","0","191","119","54","14","0","224","100","39","10",
43153,Training 22/02/18 (Thurs),17 G.Howell,all, training, 43153.722939815,43153.824012731,"8733","7.09","27","314.333","824.3657","1","8.1467","48.7116","3.7623","484.0444","17.1493","3.5244","2.5795","0.6718","0.2206","0.0938","7431.8","1077.3","171.3","39.1","13.2","415","1","0","0","0","0","21","6","0","0","2.9569","0.5591","0.1665","0.0452","0.0153","3447.9","288","61.5","13.4","4","2.679","0.4873","0.1342","0.0401","0.0065","4525.8","304.4","66.8","17.8","3.1","2.6086","1.8926","1.4072","0.4882","0.2519","0.1473","0.0888","0.0472","0.0405","0.0233","0.0942","6753.4","1124.9","528.1","153.2","69.8","35.7","19.7","11.8","9.1","5.7","21.3","0","0","0","0","0","0","214","94","42","12","0","185","108","29","17",
43153,Training 22/02/18 (Thurs),18 W.Evans,all, training, 43153.722532407,43153.822145833,"8607","7.1151","27","262.927","1010.5544","3","7.4823","49.6001","3.8101","499.3915","16.7918","3.5918","2.362","0.8984","0.2101","0.0528","7342.5","991.4","227.2","37.9","7.6","273","3","0","0","0","0","19","5","2","1","3.1274","0.5949","0.1146","0.0339","0.0121","3685.5","323.6","47.5","11.5","4","2.621","0.4352","0.1301","0.0402","0.0057","4144","292.6","72.5","22.1","3.3","2.6603","1.8661","1.3158","0.5757","0.2876","0.1449","0.0889","0.0549","0.0432","0.0252","0.0527","6644.7","1120.9","491.2","169.8","74.2","36.8","23.1","15.5","10.3","6.4","13.7","0","0","0","0","0","0","166","99","42","15","0","193","85","24","16",
43153,Training 22/02/18 (Thurs),01 W.Fuller,all, training, 43153.72252662,43153.824667824,"8825","4.8541","4","20.998","639.0802","9","5.88","33.0022","2.3794","459.7696","7.2601","3.4709","1.1453","0.2169","0.021","0","8297.3","465.9","58","3.8","0","141","9","1","0","0","0","4","0","0","0","2.22","0.2671","0.0795","0.0166","0.0062","3577.7","194.1","39.8","7.2","2.2","1.9898","0.1975","0.0637","0.0126","0.0011","4750.4","194.1","49.4","9.3","0.8","2.8074","1.0037","0.7276","0.1855","0.0632","0.0221","0.0151","0.015","0.0061","0.0021","0.0061","7798.3","646.6","270.7","66.6","20.7","8.2","5.3","4.3","1.6","0.8","1.9","0","0","0","0","0","0","89","70","28","1","0","87","71","22","8",
43153,Training 22/02/18 (Thurs),09 A.Roscrow,all, training, 43153.72259838,43153.826592593,"8985","6.5844","22","245.784","851.9634","0","8.089","43.9695","3.3072","430.7448","14.9996","3.3708","2.3584","0.6094","0.2016","0.0442","7801.8","987.2","153.6","36.2","6.1","169","0","0","0","0","0","17","4","1","0","2.8909","0.4788","0.1165","0.0209","0.0052","3541.4","244.5","44.1","7.7","1.7","2.5308","0.4122","0.1057","0.022","0.0015","4824.3","253.5","56.7","10.3","0.7","2.5383","1.7385","1.2903","0.4472","0.2392","0.1286","0.0763","0.0415","0.0254","0.0179","0.0412","7186.7","1029.5","487.5","138","63.5","32.7","17.8","9.3","6.4","4","9.5","0","0","0","0","0","0","155","90","32","2","0","173","77","23","7",
43153,Training 22/02/18 (Thurs),21 H.Owen,all, training, 43153.722943287,43153.815155093,"7967","7.0583","29","329.679","818.8765","0","6.7312","53.1564","4.1047","636.7042","19.8115","2.7772","2.709","1.2425","0.3178","0.0119","6492.4","1098.1","317.6","57.2","1.8","272","0","0","0","0","0","17","7","4","1","2.9007","0.6233","0.1508","0.0251","0.0029","3145.8","290.4","56.7","9","1.2","2.6878","0.526","0.1165","0.0222","0.0028","4086.3","298.7","65.3","12","1.7","2.2361","1.3876","1.6969","0.849","0.4263","0.2253","0.0973","0.062","0.0334","0.0173","0.027","6080.5","791.3","624.7","246.9","110.7","53.9","24.7","14.6","8","4.3","7.5","0","0","0","0","0","0","196","105","41","6","0","189","113","27","7",
43153,Training 22/02/18 (Thurs),20 H.Hope,all, training, 43153.721902778,43153.826765046,"9060","6.9509","21","119.968","792.3733","1","8.0356","46.0325","3.4851","477.8759","15.6832","3.3997","2.3775","1.0538","0.1082","0.0118","7809.7","972.4","260.2","16.2","1.5","402","1","0","0","0","0","15","2","2","2","2.9871","0.5821","0.1231","0.0234","0.0014","3661.5","285.1","48.2","8.3","0.6","2.6257","0.4793","0.1093","0.0177","0.0018","4699.7","285.2","60.1","10.4","0.9","2.5373","1.6579","1.4439","0.6242","0.2844","0.1686","0.0845","0.0663","0.0358","0.0265","0.0216","7172.9","998","527.9","185.2","78.4","43.1","20.4","15.2","7.8","5.9","5.2","0","0","0","0","0","0","167","96","29","6","0","177","95","22","4",
43153,Training 22/02/18 (Thurs),05 E.Lewis,all, training, 43153.722945602,43153.823384259,"8678","7.3665","31","331.324","1117.4045","6","7.8734","50.9322","3.9912","809.7605","16.1491","3.8103","2.0628","1.162","0.269","0.0623","7461","864.9","295.7","47.5","8.8","196","6","0","0","0","0","22","8","1","0","3.0378","0.6949","0.1868","0.0382","0.0175","3849.4","348.4","74","13.5","5.6","2.6054","0.5603","0.1809","0.0404","0.0042","3928.6","342.3","91.6","22","2.5","2.8686","1.646","1.2208","0.7546","0.3556","0.1925","0.1081","0.0794","0.0421","0.0335","0.0653","6754.4","1023.8","450.9","221","94.9","49.7","28.8","19.7","10.4","8.4","15.9","0","0","0","0","0","0","178","139","58","7","0","161","146","34","23",
