Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43089,Llandudno (A) 20/12/17,02 D.Rees,all, game, 43089.80047338,43089.903472222,"7758","12.0905","75","877.25","1480.7273","2","8.4067","93.5077","6.5371","645.4728","32.7509","4.5196","4.0398","2.6538","0.6849","0.1923","6414.6","1661","672.9","123.9","26.6","224","2","0","0","0","0","43","26","6","0","4.7725","1.0267","0.3433","0.1108","0.0483","3232","446","129.2","35.2","14.3","4.4254","0.9877","0.2946","0.0689","0.0124","4378.3","483.4","141.8","32.7","6.1","2.649","3.1599","2.5521","1.705","0.8537","0.4197","0.2413","0.1776","0.1258","0.0666","0.1399","5059.9","1938.4","923.4","487","215.4","102.1","54.3","40.7","27.1","15.1","35.6","0","0","0","0","0","0","298","238","84","24","0","263","199","87","45",
43089,Llandudno (A) 20/12/17,03 K.McCarthy,all, game, 43089.801695602,43089.910925926,"7653","11.223","64","805.493","1366.4919","9","8.1467","87.9887","5.7935","627.453","30.0281","4.0994","3.9126","2.4055","0.7126","0.0929","7008.1","1680.5","607","128.7","13.2","688","9","0","0","0","0","36","20","6","2","4.2601","1.1081","0.3272","0.1107","0.0443","3120.5","506","125.4","37.1","12.6","3.9965","1.0178","0.2836","0.0605","0.0141","4930.2","527.6","141.3","30.2","6.6","2.4266","3.1398","2.1703","1.5549","0.8592","0.4407","0.2505","0.1351","0.0709","0.0601","0.1149","5782.7","1942.8","786.7","446.4","217.1","106","61.1","32.6","18.3","14.5","29.3","0","0","0","0","0","0","316","214","77","28","0","289","202","75","42",
43089,Llandudno (A) 20/12/17,05 E.Lewis,all, game, 43089.799774306,43089.909436343,"7819","11.5773","50","692.918","1756.632","2","7.7667","88.8397","5.7558","953.5957","30.7398","4.3495","4.3083","2.2266","0.5129","0.18","6968.4","1820","568.8","91.7","25.8","351","2","0","0","0","0","27","17","4","2","4.6303","1.0075","0.2631","0.0818","0.0234","3302.2","438.4","99.9","26.6","6.5","4.3545","0.9465","0.2238","0.0373","0.0091","5005.8","469","104.5","17.9","3.9","2.607","3.3604","2.5023","1.477","0.684","0.3966","0.2156","0.1125","0.0792","0.051","0.0917","5704.9","2036.2","911.7","427.1","176.9","91.4","48.4","26.5","18.1","11.7","21.8","0","0","0","0","0","0","358","184","48","15","0","312","197","53","21",
43089,Llandudno (A) 20/12/17,21 H.Owen,all, game, 43089.802112269,43089.909947917,"5231","7.8697","50","638.533","969.8597","4","7.6912","90.2656","4.1488","714.8084","20.9928","2.7343","3.0198","1.477","0.536","0.1025","7568.2","1267.9","370.4","95.5","15","561","4","0","0","0","0","30","15","4","1","2.8575","0.825","0.2627","0.0679","0.0405","2107.7","356","91.4","20.7","10.9","2.7844","0.7638","0.2039","0.057","0.0068","6248.2","358.3","94.8","25.5","3.5","1.7451","2.1205","1.6294","0.913","0.5798","0.3441","0.1883","0.1093","0.0703","0.0553","0.1146","6837","1249.4","608.4","269.6","147.6","78.8","43.4","25.3","16.7","12.3","28.5","0","0","0","0","0","0","264","160","55","16","0","247","153","39","33",
43089,Llandudno (A) 20/12/17,06 B.Bowler,all, game, 43089.824341435,43089.903457176,"5697","10.0621","54","612.587","1388.1471","7","8.4912","105.9722","6.9933","551.5144","38.7559","3.3225","3.8063","2.3206","0.5282","0.0844","4556.5","1581.6","589.9","95.8","11.8","454","7","0","0","0","0","33","16","4","1","3.753","0.9465","0.2667","0.0761","0.0276","2243.5","399.8","101.1","25","8","3.8651","0.9063","0.1888","0.0285","0.0033","3528.4","426.7","87.3","14.2","1.6","1.7536","2.8418","2.3102","1.5839","0.7801","0.3595","0.1551","0.0968","0.0687","0.0389","0.0734","3427.1","1726","837","459.8","198.8","85.9","37.2","22.4","15.8","8.9","16.7","0","0","0","0","0","0","355","156","43","7","0","287","169","54","26",
43089,Llandudno (A) 20/12/17,07 E.Evans,all, game, 43089.824680556,43089.908924769,"5667","10.1649","68","867.979","1324.1702","3","8.6178","107.6221","6.7677","539.0944","36.9824","3.0239","3.8978","2.3752","0.6681","0.1999","4917.2","1615.5","598.6","120","27.3","257","3","0","0","0","0","44","15","7","2","4.0081","0.925","0.2804","0.0842","0.0194","2358.5","373.6","94.5","27.1","5.9","3.6485","0.9066","0.222","0.0607","0.0101","3887.9","400.3","99.2","26.7","4.9","1.6032","2.7987","2.3287","1.5271","0.8365","0.3876","0.2496","0.1249","0.0862","0.0624","0.1599","3889.2","1669.3","839.4","430.9","205.3","92.8","55.6","27.6","19.3","13.8","35.4","0","0","0","0","0","0","301","150","58","21","0","286","127","64","23",
43089,Llandudno (A) 20/12/17,15 R.Thomas,all, game, 43089.804193287,43089.911984954,"9313","2.6771","0","0","279.8928","0","4.6023","17.2473","1.2362","207.9567","3.7055","2.1086","0.4973","0.0713","0","0","9049.4","244.5","19.3","0","0","59","0","0","0","0","0","0","0","0","0","1.3027","0.1151","0.0132","0.0016","0","2597.1","78.9","7.5","0.7","0","1.1469","0.0737","0.0182","0.0044","0.0013","6540","72.6","12.6","3.3","0.5","1.6949","0.7026","0.1918","0.0541","0.0146","0.0082","0.0029","0.0027","0.0019","0.0014","0.002","8727","478.7","76.1","18.4","5.8","3","1.3","1.1","0.6","0.5","0.7","0","0","0","0","0","0","54","20","8","2","0","50","23","3","0",
43089,Llandudno (A) 20/12/17,28 R.Morgan,all, game, 43089.802457176,43089.915280093,"9748","3.5484","1","0","392.557","0","4.9467","21.8408","1.5628","285.8491","5.2842","2.5281","0.8167","0.2036","0","0","9334.4","358.8","54.7","0","0","109","0","0","0","0","0","0","1","0","0","1.6348","0.2022","0.0382","0.0083","0.0005","2596.6","135.5","21","3.7","0.2","1.4639","0.1692","0.0265","0.0047","0.0001","6819.3","146.8","21.1","3.6","0.1","1.9693","0.911","0.4349","0.1618","0.0385","0.0219","0.0087","0.0005","0.001","0.0005","0.0002","8915.4","588.2","165.7","52.9","13.6","8","3.1","0.3","0.4","0.2","0.1","0","0","0","0","0","0","88","42","10","1","0","77","43","15","1",
43089,Llandudno (A) 20/12/17,17 G.Howell,all, game, 43089.80315162,43089.914545139,"8374","3.5429","1","0","378.8229","3","4.9312","25.3853","1.5707","276.1681","6.3422","2.4947","0.9646","0.0836","0","0","9163.1","439.4","21.9","0","0","167","3","0","0","0","0","1","0","0","0","1.6012","0.2082","0.0352","0.0029","0","2311.6","141.5","18","1.2","0","1.5177","0.1529","0.0222","0.0025","0","6993.6","141","15.9","1.6","0","1.7271","1.3056","0.3766","0.0838","0.0279","0.0087","0.0055","0.0046","0.0026","0.0004","0.0003","8600.9","820.3","156.5","29.4","9.9","3","1.7","1.6","0.8","0.2","0.1","0","0","0","0","0","0","118","28","6","0","0","102","40","6","0",
43089,Llandudno (A) 20/12/17,10 C.Corsby,all, game, 43089.801415509,43089.909040509,"7677","10.9661","40","397.723","1449.3681","2","8.4667","85.7063","5.4731","875.7038","32.5368","3.8635","4.6113","2.0936","0.3467","0.051","6743.7","1941.8","543","63.4","6.8","796","2","0","0","0","0","25","11","2","2","4.3971","0.9743","0.2126","0.0387","0.0096","2986.7","428.1","87.5","14.4","3.1","4.3871","0.7715","0.1453","0.0242","0.0057","5287.8","401.3","74.3","12.5","3","1.9933","3.586","2.7701","1.45","0.5864","0.2559","0.1408","0.0782","0.0362","0.0272","0.0421","5397.1","2168.5","1016.4","422.6","148.9","64.4","36.2","18.7","8.7","6.2","11","0","0","0","0","0","0","391","146","37","12","0","317","187","45","10",
43089,Llandudno (A) 20/12/17,16 J.Barnett,all, game, 43089.802457176,43089.90953588,"8514","4.3352","7","65.296","545.2645","4","7.2534","30.5512","2.0559","617.6724","8.6039","2.5451","1.2986","0.4263","0.0511","0.0142","8578","554.2","108.2","9.2","2","189","4","0","0","0","0","4","2","1","0","1.9713","0.2617","0.0536","0.0126","0.005","3336","149.8","25.5","5.2","1.7","1.7396","0.2373","0.0461","0.0067","0.0014","5522.6","178","27.7","4.5","0.6","1.9278","1.1587","0.707","0.306","0.1127","0.0563","0.0318","0.0115","0.0105","0.0055","0.0075","8118.4","714.8","265.3","89.9","31.2","15.7","7.8","3","2.5","1.2","1.8","0","0","0","0","0","0","127","55","14","2","0","105","52","16","7",
43089,Llandudno (A) 20/12/17,11 J.Lam,all, game, 43089.805494213,43089.916019676,"7324","12.9821","82","1009.394","1756.5519","11","8.7156","106.3524","6.5016","759.3974","37.1158","4.0002","4.8758","3.0967","0.766","0.2434","6558.2","2039.2","780.7","138","33.2","471","11","0","0","0","0","49","28","4","1","5.2993","1.0715","0.2971","0.1045","0.0342","3082.9","413.9","100","32.4","9.7","4.8113","1.0008","0.2783","0.068","0.0171","5328.5","422.6","117.4","33.6","8.3","1.8654","3.9606","2.9662","1.9303","0.936","0.4823","0.2657","0.1785","0.1148","0.0808","0.2016","5045.7","2388.3","1049.8","534.9","228.7","112.2","60.1","40.1","26.2","17.1","46.2","0","0","0","0","0","0","303","194","72","31","0","317","141","70","38",
