Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43190,Connahs Quay (A) 31/4/18,09 A.Roscrow,all, game, 43190.573920139,43190.693606481,"10341","11.9029","83","1267.695","1606.6207","7","8.6667","69.0622","5.4173","596.9148","26.762","4.9064","3.6797","2.049","0.9274","0.3403","8068.1","1545.1","516.8","163.4","47.4","375","7","0","0","0","0","47","23","7","6","4.7146","0.9733","0.3008","0.0888","0.0314","3637.5","380.3","95.8","26.7","8.5","4.5553","0.9708","0.2141","0.0464","0.0074","5646.8","426","95.6","20.4","3.2","2.9294","3.2956","2.1544","1.2787","0.7532","0.58","0.3556","0.2143","0.1271","0.0697","0.145","6659","2042.5","780.2","367.8","181.9","122.3","71.8","44.1","26.7","13.8","30.7","0","0","0","0","0","0","273","157","40","13","0","242","131","63","23",
43190,Connahs Quay (A) 31/4/18,03 K.McCarthy,all, game, 43190.57843287,43190.695783565,"10139","10.5371","73","741.239","1275.3742","10","8.6512","62.3557","5.0156","625.1375","24.66","4.227","3.4905","2.0783","0.5434","0.1978","8003.1","1483.2","528","97","27.8","514","9","1","0","0","0","47","22","4","0","4.0918","0.9916","0.2845","0.1226","0.0463","3422.7","465.3","106.1","40","13.7","3.7113","0.9428","0.2891","0.0532","0.0039","5400.9","510","147.8","30","2.6","2.6217","2.9014","1.9862","1.2709","0.6871","0.4023","0.2419","0.1523","0.094","0.0696","0.1097","6827.5","1790.5","717.1","369.9","183","97.9","57","34.2","22","15.4","24.6","0","0","0","0","0","0","268","224","80","10","0","259","155","81","50",
43190,Connahs Quay (A) 31/4/18,02 D.Rees,all, game, 43190.605513889,43190.690487269,"7342","10.3875","76","1144.36","1276.0359","10","8.4778","84.8879","6.8286","512.494","33.6997","3.4778","3.3791","2.3862","0.8229","0.3215","5189.2","1358.8","603.3","145.6","44.7","245","10","0","0","0","0","37","24","9","6","4.3003","0.8303","0.2639","0.1021","0.0413","2697.8","338.8","89","31.2","10.6","3.6437","0.8695","0.267","0.0583","0.0112","3637.9","379.1","123","27.4","6.8","1.9638","2.5167","2.269","1.4804","0.7806","0.4939","0.3184","0.189","0.1203","0.0773","0.1779","4094.8","1544.2","798.1","417.5","192.8","106.2","66.8","38.5","25.2","17","40.5","0","0","0","0","0","0","193","192","54","23","0","210","130","62","38",
43190,Connahs Quay (A) 31/4/18,08 C.Baker,all, game, 43190.576857639,43190.697023148,"10382","13.8199","75","1077.04","2010.2435","15","8.2334","79.8684","6.3729","751.2467","36.4037","4.4489","5.0864","3.2076","0.8454","0.2316","7178.2","2215.6","803.6","152","32.8","567","14","1","0","0","0","38","25","8","4","5.5312","1.1683","0.3497","0.1137","0.0408","3864.8","523","120","33.9","11.4","5.0905","1.1456","0.299","0.0661","0.015","5096.1","555.9","135.8","33.2","8.1","2.3584","4.3797","2.6012","2.0219","1.0287","0.5614","0.302","0.1934","0.1205","0.0821","0.1707","5679.7","2626","935.9","560.5","254.1","126.8","69.2","44","28","17.9","40.1","0","0","0","0","0","0","344","247","83","32","0","351","215","78","33",
43190,Connahs Quay (A) 31/4/18,14 J.Edwards,all, game, 43190.574333333,43190.696638889,"10567","12.6537","86","1074.49","1527.286","4","7.9267","71.8486","5.7616","674.4973","30.1088","4.2034","4.2932","3.0826","0.8579","0.2165","7811.5","1794.3","775.1","155.2","30.9","474","4","0","0","0","0","47","31","5","3","5.1106","1.1504","0.3135","0.0946","0.0428","3565.8","509.6","115.4","28.8","11.7","4.4704","1.0974","0.307","0.0587","0.0083","5603.1","550.8","147.2","30.2","4.4","2.4852","3.2238","2.6183","1.9429","1.0279","0.5377","0.3259","0.1774","0.1074","0.0711","0.1361","6567.3","1957","934.4","545.9","250.7","124.2","72.9","41.5","24.9","16","32.2","0","0","0","0","0","0","306","236","81","19","0","330","202","63","38",
43190,Connahs Quay (A) 31/4/18,10 C.Corsby,all, game, 43190.575097222,43190.694116898,"7846","9.3889","36","414.239","1236.0041","2","7.3556","71.7989","4.2186","750.6425","24.6703","3.3839","3.6381","1.9527","0.3792","0.0351","8136.1","1575","498.4","68.6","5.1","670","2","0","0","0","0","19","11","2","4","3.937","0.7249","0.1644","0.0319","0.0115","2751.8","321.5","61.9","11.5","3.4","3.6787","0.6963","0.1183","0.0219","0.0039","6698.5","361.9","58.7","11.9","2.1","1.8927","2.9323","2.1499","1.3144","0.56","0.2554","0.1201","0.0604","0.0359","0.0307","0.0372","7072","1789.5","778.6","373.5","140.6","60","28.9","14.2","8.6","7.4","9.9","0","0","0","0","0","0","290","128","21","12","0","280","141","32","12",
43190,Connahs Quay (A) 31/4/18,01 W.Fuller,all, game, 43190.570097222,43190.663165509,"8041","5.3161","3","44.329","733.0097","23","6.6223","39.6671","3.0017","475.6739","11.2026","3.4292","1.4445","0.398","0.041","0.0033","7304.6","621.5","107.2","7.2","0.5","147","23","0","0","0","0","1","2","0","0","2.3226","0.3831","0.0974","0.0439","0.0171","2873.5","270.2","47.6","18.2","5.9","2.0138","0.3136","0.0998","0.0193","0.0055","4465.6","271.5","70.2","14.7","3.6","2.5579","1.3822","0.8439","0.3033","0.0953","0.0525","0.0287","0.0135","0.0125","0.0126","0.0136","6650.6","890.3","317.3","105.6","32.5","17.8","10.5","4.7","4.1","3.3","4.3","0","0","0","0","0","0","131","105","25","10","0","129","73","42","26",
43190,Connahs Quay (A) 31/4/18,05 E.Lewis,all, game, 43190.606278935,43190.676767361,"5531","7.4562","47","711.828","1145.4092","11","7.7823","80.8842","5.8337","589.1215","30.4391","2.6159","2.3947","1.7338","0.5504","0.1614","4520.2","1009.7","439.1","98","23.2","232","11","0","0","0","0","23","17","5","2","3.0059","0.5867","0.1853","0.0714","0.0286","2096.8","237.1","62.5","22.7","8.3","2.7552","0.6454","0.141","0.0323","0.0043","3294.2","288.1","63.8","14.2","2.5","1.5245","1.9464","1.4884","1.0738","0.5726","0.3522","0.1931","0.1114","0.0683","0.041","0.0845","3741.4","1192.8","529.6","300.5","140.5","76","41.2","24.2","15.1","9.1","19.8","0","0","0","0","0","0","178","113","29","12","0","164","89","47","21",
43190,Connahs Quay (A) 31/4/18,18 W.Evans,all, game, 43190.606208333,43190.68537963,"6840","10.1147","80","1072.684","1501.2859","15","7.6267","88.725","7.1199","527.0373","37.8711","3.3075","3.3019","2.4325","0.8341","0.2386","4674","1371.4","610.8","150.2","33.9","583","15","0","0","0","0","46","19","11","4","4.0108","0.8013","0.2654","0.0976","0.0486","2582.6","332.5","93.3","28.5","13.8","3.7953","0.8049","0.2189","0.0624","0.0095","3299.5","358.8","95.8","30.5","5","1.6126","2.7885","2.099","1.5263","0.8584","0.4536","0.2986","0.1703","0.0936","0.0812","0.1325","3467.2","1732.9","741.2","424.2","202.7","100.4","61.3","38.7","21.3","18","32.4","0","0","0","0","0","0","215","127","66","23","0","232","133","50","45",
43190,Connahs Quay (A) 31/4/18,11 J.Lam,all, game, 43190.581111111,43190.695267361,"5834","3.0884","5","37.745","384.524","0","5.6356","31.763","1.3766","264.9329","5.9596","1.8499","0.9253","0.2756","0.0377","0","9390.4","397.3","68.1","7.2","0","73","0","0","0","0","0","2","3","0","0","1.3977","0.2115","0.0428","0.004","0.0009","1751.5","135.5","20.7","1.9","0.3","1.2251","0.1664","0.0353","0.0048","0","7788.9","138.8","21.7","3.7","0","1.3252","0.9207","0.469","0.2052","0.0946","0.0372","0.0153","0.0125","0.0056","0.0028","0.0004","9003.4","572.6","180","60.2","25.6","10.5","4.5","3.7","1.6","0.8","0.1","0","0","0","0","0","0","88","40","10","0","0","73","48","6","1",
