Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43010,Training 02/10/17 (Mon),06 B.Bowler,all, training, 43010.727111111,43010.791793981,"5262","3.7168","3","0","472.6712","0","4.9378","42.3808","2.9127","275.8012","11.937","2.3937","1.1412","0.1819","0","0","5033.9","507.1","47.5","0","0","53","0","0","0","0","0","3","0","0","0","1.6819","0.2598","0.0478","0.0059","0.0002","2043.7","152.7","24.2","2.5","0.1","1.4586","0.2133","0.0407","0.0077","0.0009","3176.6","153.4","29.7","5","0.6","1.8287","1.1275","0.4943","0.1595","0.0561","0.0279","0.013","0.0053","0.0022","0.0007","0.0015","4609.8","686.3","200","55.2","19.6","9.4","4.4","2","1","0.2","0.6","0","0","0","0","0","0","128","57","13","3","0","118","62","7","1",
43010,Training 02/10/17 (Mon),12 D.Spencer,all, training, 43010.726625,43010.775350694,"3883","3.1959","10","781.722","415.9682","0","8.5112","49.3825","3.3615","211.9098","10.01","1.7105","0.4454","0.2582","0.258","0.5237","3844.6","184.5","63.6","44.2","72.9","78","0","0","0","0","0","0","0","0","10","1.3996","0.1982","0.0331","0.004","0","1628.5","98.8","16.9","2.1","0","1.3911","0.1334","0.0256","0.0082","0.0026","2355.5","85.3","17.4","3.8","1.5","1.3174","0.5413","0.2924","0.1652","0.1261","0.2465","0.2727","0.1385","0.0606","0.0134","0.0218","3553.3","357.8","108.8","44.9","26.9","40","40.1","20.5","9.5","2.6","5.4","0","0","0","0","0","0","44","23","6","4","0","34","28","7","0",
43010,Training 02/10/17 (Mon),07 E.Evans,all, training, 43010.728361111,43010.790113426,"5008","3.4925","11","88.174","436.0273","0","7.4001","41.8435","3.0396","253.4194","12.1755","2.0896","0.9356","0.3791","0.0676","0.0206","4821","403.9","95.1","12.3","3","79","0","0","0","0","0","10","1","0","0","1.4716","0.2952","0.0975","0.0144","0.004","2282","164.5","39.1","5.7","1.1","1.302","0.2004","0.0765","0.0278","0.0031","2637.2","149.6","40.7","13.6","1.8","1.4483","1.0463","0.4599","0.2338","0.1063","0.0708","0.033","0.0254","0.0199","0.0129","0.0359","4348.7","660.2","174.1","68.2","29.3","19.3","9.5","7.2","5.9","3.6","9.3","0","0","0","0","0","0","80","43","33","8","0","75","69","18","6",
43010,Training 02/10/17 (Mon),05 E.Lewis,all, training, 43010.728498843,43010.789038194,"4904","3.9204","15","81.874","591.313","1","6.1956","47.9659","3.5038","394.0728","12.4479","2.4119","0.9747","0.4519","0.0819","0","4686.8","415.7","113","15.1","0","121","1","0","0","0","0","15","0","0","0","1.614","0.3222","0.1157","0.0368","0.0089","2102.1","170.7","43.8","13.8","3.1","1.4092","0.2873","0.1002","0.0226","0.0035","2640.5","187.5","53.9","13.1","2.1","1.8128","0.9535","0.469","0.3094","0.1551","0.0751","0.0503","0.0388","0.0187","0.0158","0.022","4237.9","608","181.3","93.7","44.7","22.9","14.5","10.7","5.6","4.9","6.4","0","0","0","0","0","0","84","68","36","11","0","63","67","38","10",
43010,Training 02/10/17 (Mon),01 W.Fuller,all, training, 43010.726986111,43010.79403125,"5466","3.194","1","1.012","432.9677","8","4.9689","35.0601","2.4528","340.8995","6.0991","2.5471","0.5754","0.0704","0.001","0","5513.9","259.9","18.7","0.2","0","126","8","0","0","0","0","1","0","0","0","1.3964","0.2333","0.0747","0.0219","0.0047","2349.1","173.6","42.4","10.2","1.8","1.2145","0.173","0.059","0.0146","0.0018","2964.1","186.9","52.9","10.5","1.2","2.0595","0.7293","0.2542","0.0775","0.0306","0.0187","0.0095","0.0068","0.0035","0.0007","0.0037","5131.7","484","113.6","32","13.5","8.1","3.8","2.9","1.3","0.3","1.5","0","0","0","0","0","0","81","64","22","7","0","59","77","26","6",
43010,Training 02/10/17 (Mon),03 K.McCarthy,all, training, 43010.726416667,43010.789900463,"5158","3.14","6","66.981","367.2396","0","8.6801","36.5257","2.668","256.3695","10.0146","1.9522","0.8644","0.2564","0.0297","0.0373","5034","375.7","65","5.6","4.7","150","0","0","0","0","0","5","0","1","0","1.2795","0.2827","0.0821","0.0309","0.0135","2096","163.7","37.8","11.1","4.7","1.1253","0.226","0.0793","0.0182","0.0024","2943.4","167","48.4","11.3","1.6","1.4879","0.8084","0.4028","0.2029","0.0829","0.0439","0.0335","0.0262","0.0132","0.0126","0.0257","4685.5","500.6","162.7","66.4","27.6","14.4","8.9","6.1","3.6","3.2","6","0","0","0","0","0","0","84","82","25","8","0","80","67","28","16",
43010,Training 02/10/17 (Mon),02 D.Rees,all, training, 43010.726069444,43010.789408565,"5146","3.2562","9","213.367","378.96","3","8.1556","37.9662","2.7206","248.8485","9.2992","1.9885","0.8052","0.2491","0.1277","0.0857","5031.4","343.1","63.7","22.4","11.9","65","3","0","0","0","0","3","0","6","0","1.3425","0.2696","0.0804","0.0216","0.005","2023.1","156.8","35.1","9.1","1.7","1.2444","0.2163","0.0622","0.0118","0.0025","3042.7","152.9","42","7.8","1.3","1.6018","0.6809","0.4264","0.1821","0.1103","0.0942","0.0751","0.0411","0.0139","0.01","0.0205","4734.3","425.2","168.6","59.3","30.6","22.2","13.6","8.8","3.4","2.2","4.3","0","0","0","0","0","0","77","71","21","4","0","69","59","25","8",
43010,Training 02/10/17 (Mon),09 A.Roscrow,all, training, 43010.727898148,43010.788334491,"4895","4.0545","24","132.421","535.6674","2","6.2423","49.6981","3.5843","250.5399","16.0353","2.1432","1.1903","0.5886","0.1324","0","4537.9","513.1","146.1","24.5","0","130","2","0","0","0","0","22","2","0","0","1.6724","0.2764","0.1096","0.0329","0.0095","2108.7","130.2","39.7","10.8","3","1.6121","0.2333","0.0794","0.025","0.0041","2740.4","134","38.2","13.9","2.7","1.4875","1.1404","0.6327","0.3467","0.1939","0.0985","0.0523","0.0384","0.0194","0.0145","0.0303","4064.5","708.2","233.7","97.9","48.1","26","13.7","10.9","5.5","4.3","8.8","0","0","0","0","0","0","80","47","25","12","0","69","60","25","12",
43010,Training 02/10/17 (Mon),21 H.Owen,all, training, 43010.729472222,43010.792478009,"5198","3.4076","7","65.111","387.7746","0","6.4223","39.3332","2.8386","256.3369","12.4017","1.9052","1.1676","0.2697","0.0638","0.0013","4854.7","508.6","68.5","11.6","0.2","152","0","0","0","0","0","4","3","0","0","1.453","0.2944","0.0648","0.0096","0.0012","1881.6","167.2","28.9","3.9","0.5","1.2804","0.2394","0.0505","0.0128","0.0015","3153.3","166.4","34.1","6.9","0.8","1.492","0.9377","0.5435","0.2081","0.1186","0.0491","0.0216","0.0125","0.0072","0.0033","0.0139","4540.9","555.2","215.1","68.2","33.9","13.9","6.3","3.2","2","1","3.9","0","0","0","0","0","0","114","65","11","5","0","117","58","16","3",
43010,Training 02/10/17 (Mon),04 B.Woolridge,all, training, 43010.726625,43010.786600694,"4855","3.4571","3","19.719","405.6014","3","6.0423","42.7242","3.1192","299.8959","12.1659","2.0522","1.0828","0.3024","0.0191","0.0007","4649.1","449.5","79.5","3.5","0.1","236","4","0","0","0","0","3","0","0","0","1.4044","0.2892","0.0939","0.0313","0.0162","1927.1","179.2","40.2","12.2","5.4","1.2685","0.2458","0.0842","0.0194","0.0043","2773.6","177.3","50.7","12.8","3.2","1.5413","0.8587","0.5895","0.2376","0.0878","0.057","0.0278","0.0196","0.0137","0.0075","0.0165","4266","535.3","224.3","79.6","29.3","19.9","9.1","6.4","4.3","2.4","5.1","0","0","0","0","0","0","93","79","33","10","0","75","67","33","24",
