Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43134,Bangor (A) 04/01/18,03 K.McCarthy,all, game, 43134.645857639,43134.764311343,"9468","11.6521","62","756.476","1403.9444","4","7.3312","73.8412","5.4664","713.0087","29.8571","4.1042","4.6244","2.167","0.6802","0.0763","7594","1954.5","553.2","121.5","11.2","678","4","0","0","0","0","40","17","5","0","4.518","1.0928","0.3466","0.0929","0.0316","3407.8","495","128.3","30.6","9.7","4.2018","1.035","0.2658","0.0606","0.0071","5449.8","546.7","132","30","4.5","2.3636","3.4884","2.6186","1.415","0.7444","0.4326","0.2066","0.1382","0.0947","0.0651","0.085","6324.7","2093.2","959","421.2","189.7","101.3","51.6","32.7","22.2","16.2","22.6","0","0","0","0","0","0","408","224","65","21","0","351","229","67","37",
43134,Bangor (A) 04/01/18,02 D.Rees,all, game, 43134.642320602,43134.762200231,"9774","12.9511","91","1208.12","1585.2225","5","7.949","79.5035","6.0184","691.8162","29.3604","4.9894","4.0007","2.7529","0.9417","0.2665","7810.7","1653","686.2","169.5","38.1","310","4","1","0","0","0","48","28","10","5","5.0231","1.1314","0.3757","0.1272","0.0414","3547.3","498.3","131.7","38.7","13","4.7364","1.1321","0.3032","0.0696","0.011","5402.7","537.6","146.8","34.9","6.5","2.8421","3.4651","2.4241","1.653","1.0468","0.6178","0.3567","0.2058","0.1301","0.0769","0.1328","6254","2158.2","878.1","468.1","254.4","140.6","78.6","45.6","28.4","17.9","33.6","0","0","0","0","0","0","334","240","87","30","0","294","188","87","46",
43134,Bangor (A) 04/01/18,08 C.Baker,all, game, 43134.642392361,43134.765383102,"9768","14.4178","104","1211.419","2109.6527","8","8.169","88.5615","6.5397","837.6531","38.7561","3.9601","5.5281","3.7182","0.9958","0.2156","7127.6","2342.1","946.7","178.8","31","622","8","0","0","0","0","68","27","9","0","5.5603","1.2545","0.3693","0.1181","0.0395","3512.6","504","121.5","35.4","11.7","5.4938","1.2068","0.2833","0.0785","0.0137","5744.3","532.1","122.1","35.5","7","1.8143","4.3205","3.2843","2.2648","1.1728","0.6354","0.319","0.1899","0.1245","0.0894","0.2028","5612.5","2576.4","1173.5","628","283.4","140.1","71.7","43.6","28.8","20.2","48","0","0","0","0","0","0","405","229","72","37","0","355","190","75","41",
43134,Bangor (A) 04/01/18,07 E.Evans,all, game, 43134.64247338,43134.764664352,"8163","8.9089","53","620.115","1166.558","5","8.0645","65.4825","4.1101","573.4443","21.4356","3.0044","3.4128","1.8715","0.5081","0.112","8553.1","1420.7","475.8","91.8","15.8","306","5","0","0","0","0","38","10","2","3","3.4499","0.8984","0.2559","0.0756","0.0172","2504.2","396.4","93.1","25.9","5.4","3.1719","0.7243","0.2362","0.0678","0.0118","7007.4","376.3","110","32.9","5.6","1.8364","2.3827","2.0553","1.215","0.5966","0.2934","0.1747","0.1136","0.0738","0.0467","0.1206","7693","1419.5","743.6","351.8","148.1","71.3","41.4","28.1","18.2","12.2","30","0","0","0","0","0","0","277","150","71","25","0","252","160","50","23",
43134,Bangor (A) 04/01/18,06 B.Bowler,all, game, 43134.677574074,43134.763384259,"6728","11.042","66","772.161","1526.1161","1","7.5378","98.4719","7.0932","593.3358","41.3448","2.9936","4.5818","2.6945","0.6828","0.0894","4711.3","1881.5","684.3","124.2","12.7","425","1","0","0","0","0","40","15","7","4","4.0892","1.0111","0.2852","0.0826","0.0368","2296.7","411.4","104.5","26.1","11.2","4.3225","0.9858","0.1891","0.0343","0.0055","4024.4","436.4","85.4","15.4","2.5","1.5102","2.9262","2.9902","1.7146","0.9638","0.3962","0.2306","0.1363","0.0618","0.0416","0.0704","3645","1750.6","1071.3","488.9","237.5","94.2","52.4","31.8","14.8","10.1","17.4","0","0","0","0","0","0","380","161","40","9","0","302","177","54","34",
43134,Bangor (A) 04/01/18,11 J.Lam,all, game, 43134.650722222,43134.770443287,"9486","8.0523","35","474.287","1079.0654","2","8.8178","50.9319","3.6834","559.3252","18.7204","3.2246","2.963","1.3905","0.3367","0.1376","8672.9","1238.9","352.7","60","19.3","225","2","0","0","0","0","21","8","4","2","3.2586","0.7063","0.2026","0.0571","0.0178","2854.1","330.6","77.7","18","5.1","2.9689","0.6042","0.1912","0.0372","0.0084","6611.9","332.2","92.2","17.8","4.2","2.0693","2.2343","1.7567","0.8689","0.4409","0.2542","0.1384","0.1118","0.0648","0.0286","0.0844","7830.1","1346","641.4","251.1","116","59.2","32.6","25.3","15.4","6.7","20","0","0","0","0","0","0","210","140","44","16","0","189","143","43","18",
43134,Bangor (A) 04/01/18,01 W.Fuller,all, game, 43134.642943287,43134.763637731,"9720","6.5085","8","120.001","894.7568","16","7.5112","40.176","2.8176","595.2811","9.0736","4.3509","1.5955","0.4421","0.1033","0.0167","9622","669.8","115.6","18.3","2.3","150","16","0","0","0","0","3","2","3","0","2.8297","0.4418","0.1402","0.0475","0.0163","3763","283.1","64","18.7","5.7","2.5418","0.3471","0.1035","0.029","0.0117","5920.6","277.1","68.5","19.8","7.5","3.4971","1.384","0.9152","0.341","0.1613","0.0776","0.0453","0.0227","0.0198","0.0116","0.0329","8971.6","882","352","112.1","48.2","22.6","12.5","7.2","6.3","3.3","10.2","0","0","0","0","0","0","163","80","40","20","0","120","100","52","21",
43134,Bangor (A) 04/01/18,09 A.Roscrow,all, game, 43134.642756944,43134.772664352,"9496","11.6137","71","1153.954","1574.5746","6","8.6556","73.3806","4.8914","639.2665","24.4476","4.7233","3.974","1.7624","0.8335","0.3204","8924.8","1663.3","442","149.6","44.3","385","6","0","0","0","0","36","22","8","5","4.4965","0.9684","0.3186","0.0819","0.0409","3439.4","397.8","109.8","26.2","10.2","4.4768","0.9493","0.2322","0.0437","0.0055","6684.4","430.3","102.9","20.2","2.8","2.7371","3.4224","2.2289","1.1337","0.7905","0.4741","0.2742","0.1937","0.1243","0.0949","0.1398","7495","2100.8","827.6","335.7","192","103.5","57.9","37.7","25.3","18.3","30.2","0","0","0","0","0","0","301","171","50","11","0","263","179","52","30",
43134,Bangor (A) 04/01/18,26 M.Swindlehurst,all, game, 43134.647256944,43134.763853009,"9348","3.5634","6","24.466","400.4095","0","6.0978","22.8714","1.5843","279.2076","6.8673","2.113","1.163","0.2629","0.0245","0","9500.2","501.3","68","4.4","0","80","0","0","0","0","0","6","0","0","0","1.5744","0.2798","0.0705","0.0125","0.0002","2282.4","177.1","33.3","5.3","0.1","1.3293","0.2299","0.0552","0.0103","0.0011","7337.9","187.8","40.9","8.2","0.9","1.5166","1.1025","0.5716","0.2013","0.0827","0.0428","0.0193","0.0129","0.0077","0.0027","0.0033","9053.3","676.1","223.8","65.9","26.1","14.1","6.3","4.4","2.1","0.7","1.1","0","0","0","0","0","0","123","59","25","4","0","90","70","19","3",
43134,Bangor (A) 04/01/18,17 G.Howell,all, game, 43134.65090625,43134.764547454,"9033","5.4123","18","251.394","620.6872","6","7.2445","35.9502","2.519","407.9356","11.2429","2.8693","1.6747","0.617","0.215","0.0364","8892.8","726.1","156","38.4","5.3","502","6","0","0","0","0","8","8","1","1","2.2394","0.4046","0.1072","0.0371","0.0178","2918.1","219.4","45.3","12.3","4.8","2.1348","0.3559","0.0961","0.016","0.0035","6328","229.2","51.7","8.2","1.6","1.9895","1.6303","0.8257","0.4002","0.2454","0.1242","0.0664","0.0461","0.0278","0.0218","0.0349","8246.2","995.5","316.8","122.5","63.4","28.7","15.1","10.4","6.3","4.9","8.8","0","0","0","0","0","0","147","90","22","5","0","138","87","26","15",
