Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Power Plays,Sprint Distance (m),Energy (kcal),Impacts,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Player Load,Work Ratio,Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
43034,Training 26/10/17 (Thur),21 H.Owen,all, training, 43034.714265046,43034.799533565,"7367","3.2862","1","8.81","354.5236","0","5.2223","26.7638","1.9176","409.399","5.8","2.4264","0.7497","0.1012","0.0088","0","7007.3","331.2","27","1.7","0","141","0","0","0","0","0","1","0","0","0","1.548","0.203","0.0437","0.0079","0.0005","2903.6","150.4","23.2","4.2","0.2","1.3133","0.1245","0.0305","0.0116","0.0032","4105","143","25.4","9.3","2.9","2.0899","0.7117","0.3429","0.0778","0.0278","0.0122","0.0061","0.0027","0.0047","0.0043","0.0061","6746.2","435","135.7","27.3","9.2","4.6","2.3","1.1","2.1","1.5","2.2","0","0","0","0","0","0","81","33","8","7","0","71","38","19","1",
43034,Training 26/10/17 (Thur),17 G.Howell,all, training, 43034.714260417,43034.80022338,"7427","4.3563","0","0","465.2362","1","4.6578","35.1929","2.4961","320.6758","10.7133","2.9738","1.2871","0.0954","0","0","6818.2","583.5","25.5","0","0","148","1","0","0","0","0","0","0","0","0","2.0169","0.2268","0.0501","0.0065","0","2879.4","168.5","28.1","3.2","0","1.8614","0.1493","0.0364","0.0081","0.0009","4158.1","153.9","30.1","5.1","0.8","2.137","1.6021","0.4663","0.0997","0.0164","0.0131","0.009","0.0034","0.0029","0.0025","0.0038","6210.1","971.7","189.8","36","6.7","4.9","3.3","1.2","1.1","0.9","1.5","0","0","0","0","0","0","92","40","9","4","0","77","64","11","0",
43034,Training 26/10/17 (Thur),10 C.Corsby,all, training, 43034.713431713,43034.7994375,"7431","4.6571","11","327.981","604.9983","4","7.3156","37.603","2.8388","482.8466","13.604","2.3151","1.6123","0.4018","0.2478","0.0801","6556.2","718.3","101.9","42.8","11.7","267","4","0","0","0","0","1","5","0","5","2.0814","0.3447","0.0627","0.0141","0.0108","2856.1","192.8","24.9","4.9","3.1","1.7693","0.2855","0.0679","0.0169","0.004","4107.2","195.6","36.1","8","2.2","1.711","1.4636","0.6624","0.2895","0.1818","0.1561","0.0634","0.042","0.0292","0.0146","0.0435","6110.4","860","253.7","89","46.2","30.4","12.8","8.5","6","2.9","11","0","0","0","0","0","0","129","55","18","8","0","124","50","13","9",
43034,Training 26/10/17 (Thur),08 C.Baker,all, training, 43034.714265046,43034.797592593,"7200","4.5024","17","396.955","654.1582","1","7.4912","37.5196","2.9982","316.8032","15.1247","1.8239","1.8393","0.4422","0.3199","0.0771","6232.9","787.6","111.8","56","11.2","193","1","0","0","0","0","5","8","0","4","1.84","0.4151","0.0962","0.0362","0.0192","2141.8","222.6","36.9","11.4","5.4","1.6146","0.3412","0.1022","0.0298","0.0078","4491.5","221.9","49.8","14.3","3.9","1.2913","1.3241","0.894","0.3106","0.2326","0.178","0.0957","0.0564","0.0332","0.0292","0.0572","5836.9","758.3","348.8","96.5","58.1","37.4","20.9","12.7","7.5","6.9","15.5","0","0","0","0","0","0","146","80","32","16","0","123","67","26","17",
43034,Training 26/10/17 (Thur),07 E.Evans,all, training, 43034.713314815,43034.798002315,"7317","4.7003","21","413.023","587.7494","4","7.1867","38.5427","2.9877","331.1397","13.4823","2.2255","1.5641","0.4977","0.3227","0.0903","6434.1","687.9","125.1","56.6","13.3","70","4","0","0","0","0","6","13","0","2","2.0391","0.3828","0.1026","0.0198","0.0089","3183.3","203","40","6.1","2.6","1.7289","0.2895","0.0928","0.0287","0.0072","3624.1","194.9","44.9","14.1","4","1.7405","1.2933","0.6706","0.3257","0.2289","0.1799","0.0783","0.0693","0.0316","0.0238","0.0584","6071.7","741.2","258.5","95.5","53.9","35.1","17","15.1","7.6","6","15.4","0","0","0","0","0","0","114","61","21","15","0","93","70","15","8",
43034,Training 26/10/17 (Thur),11 J.Lam,all, training, 43034.714263889,43034.773055556,"5080","3.1522","9","179.223","417.4544","4","7.1089","37.2307","2.9018","255.4693","12.9088","1.6061","1.1181","0.2487","0.11","0.0692","4509","476","65.1","19.1","10.3","90","3","1","0","0","0","4","4","0","1","1.3077","0.2877","0.0715","0.0173","0.0093","1487.7","157","32.5","7.1","2.8","1.1486","0.215","0.0707","0.0212","0.0031","3189.9","150.2","40.6","10.1","1.6","1.1894","0.8589","0.5949","0.1976","0.0918","0.0994","0.0301","0.0236","0.0243","0.0104","0.0319","4196","511","228.9","67.4","27.1","21.1","7.1","5.1","5.3","2.4","8.1","0","0","0","0","0","0","84","70","21","7","0","78","67","19","10",
43034,Training 26/10/17 (Thur),02 D.Rees,all, training, 43034.71356713,43034.800077546,"7475","4.9675","19","410.704","590.1884","0","7.2178","39.8725","3.1021","332.9049","13.9675","2.3377","1.618","0.6011","0.3562","0.0545","6542.5","710.8","151.3","61.9","8","106","0","0","0","0","0","7","7","0","5","2.1105","0.4013","0.0975","0.0215","0.0234","2767.5","210.6","38.3","7.6","6.7","1.853","0.3251","0.0968","0.0298","0.0085","4166.5","205.5","52.1","15.3","4.4","1.7872","1.3869","0.6943","0.3601","0.2471","0.2289","0.1035","0.0616","0.0291","0.0193","0.0494","6131.8","798.8","266.3","106.8","60.3","48","22.6","13.8","7.2","5.2","13.7","0","0","0","0","0","0","111","71","33","18","0","111","72","18","18",
43034,Training 26/10/17 (Thur),03 K.McCarthy,all, training, 43034.71321875,43034.798953704,"7408","4.9525","19","412.333","583.1068","3","7.3334","40.1121","3.1368","331.3656","14.3233","2.3185","1.6881","0.5336","0.3312","0.0812","6468.5","732.4","137","57.8","11.8","246","3","0","0","0","0","5","10","1","3","2.0902","0.4108","0.1012","0.032","0.0195","2654.2","206","41.5","10.4","5.5","1.8243","0.3328","0.1047","0.027","0.01","4211.9","203.2","54.4","15","5.4","1.7358","1.3767","0.7981","0.3335","0.2283","0.1965","0.1058","0.0628","0.0413","0.0306","0.0431","6035.3","803","300.2","104.1","56.9","41.7","23","13.8","9.9","7.1","12.5","0","0","0","0","0","0","118","86","28","20","0","115","91","19","16",
43034,Training 26/10/17 (Thur),18 W.Evans,all, training, 43034.713568287,43034.797739583,"7272","5.1453","18","422.896","751.2644","3","7.5267","42.4526","3.3506","368.2865","16.0937","2.3075","1.8642","0.5506","0.3277","0.0952","6247.1","813.5","141.3","56.8","13.7","247","2","1","0","0","0","6","7","0","5","2.1251","0.4365","0.1081","0.0465","0.0236","2901.5","227","43.1","15.6","6.7","1.908","0.3426","0.1127","0.0296","0.0126","3787.1","211.8","56.9","15.5","7.2","1.6842","1.5166","0.8564","0.3468","0.2296","0.2016","0.1216","0.0688","0.034","0.0247","0.0609","5785.5","880.9","325.8","106.4","58.5","43.2","26.7","14.7","8.1","6","16.6","0","0","0","0","0","0","129","80","33","22","0","133","79","34","19",
43034,Training 26/10/17 (Thur),14 J.Edwards,all, training, 43034.71328125,43034.799640046,"7461","3.0267","1","0.5","326.6962","6","4.7645","24.3404","1.7448","257.4411","5.7308","2.1606","0.7218","0.1439","0.0005","0","7111.2","311.9","38.2","0.1","0","66","7","0","0","0","0","1","0","0","0","1.4298","0.1908","0.0384","0.0049","0.0007","2706.1","152.1","22.2","2.4","0.3","1.1939","0.128","0.0329","0.0067","0.0008","4398.3","143.8","29.5","6.1","0.6","1.7313","0.7491","0.3732","0.1214","0.0295","0.0105","0.0057","0.0032","0.001","0.0009","0.001","6785","472.8","142.8","40.5","11.4","4.4","2.3","1","0.4","0.3","0.5","0","0","0","0","0","0","59","39","17","2","0","65","38","8","2",
